ORPHAcode_target;DiseaseName_target;n_exact_donors;ORPHAcode_donors;DiseaseName_donors;HPO_ID;HPO_Label;donor_count;Supporting_ORPHAcode_donors;candidate_type;is_selected;is_fully_supported
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001716;Wolff-Parkinson-White syndrome;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001903;Anemia;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0001945;Fever;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002013;Vomiting;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002014;Diarrhea;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002019;Constipation;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002069;Bilateral tonic-clonic seizure;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002076;Migraine;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002079;Hypoplasia of the corpus callosum;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002092;Pulmonary arterial hypertension;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002120;Cerebral cortical atrophy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002135;Basal ganglia calcification;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002151;Increased circulating lactate concentration;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002331;Recurrent paroxysmal headache;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002353;EEG abnormality;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002354;Memory impairment;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002381;Aphasia;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002401;Stroke-like episode;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002490;Increased CSF lactate;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002579;Gastrointestinal dysmotility;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0002922;Increased CSF protein concentration;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0003128;Lactic acidosis;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0003198;Myopathy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0003200;Ragged-red muscle fibers;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0003477;Peripheral axonal neuropathy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0003546;Exercise intolerance;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0004322;Short stature;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0004372;Reduced consciousness/confusion;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0004389;Intestinal pseudo-obstruction;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0005157;Concentric hypertrophic cardiomyopathy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0005978;Type II diabetes mellitus;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0007067;Distal peripheral sensory neuropathy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0007141;Sensorimotor neuropathy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0007159;Fluctuations in consciousness;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0007302;Bipolar affective disorder;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0007327;Mixed demyelinating and axonal polyneuropathy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0007359;Focal-onset seizure;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0008316;Abnormal mitochondria in muscle tissue;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0009830;Peripheral neuropathy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0010783;Erythema;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0010794;Impaired visuospatial constructive cognition;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0011442;Abnormality of central motor function;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0012429;Aplasia/Hypoplasia of the cerebral white matter;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0012444;Brain atrophy;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0012707;Elevated brain lactate level by MRS;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0012766;Widened cerebral subarachnoid space;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0025268;Stuttering;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0031546;Cardiac conduction abnormality;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0100027;Recurrent pancreatitis;1;550;single_donor;False;False
254905;Isolated cytochrome C oxidase deficiency;1;550;MELAS;HP:0100651;Type I diabetes mellitus;1;550;single_donor;False;False
280586;Chondrodysplasia with joint dislocations, gPAPP type;0;;;;;0;;no_match;False;False
284139;Larsen-like syndrome, B3GAT3 type;0;;;;;0;;no_match;False;False
289290;Hypermethioninemia encephalopathy due to adenosine kinase deficiency;0;;;;;0;;no_match;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0000218;High palate;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0000252;Microcephaly;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0000286;Epicanthus;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0000340;Sloping forehead;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0000343;Long philtrum;1;2209;single_donor;False;False
293284;Tetrahydrobiopterin-responsive phenylketonuria;1;2209;Maternal phenylketonuria syndrome;HP:0000347;Micrognathia;1;2209;single_donor;False;False
